Shelf Id,Event Id,Timestamp, 
22s,1344,2017-12-25 02:55:27,
57s,1369,2017-12-25 03:11:27,
62s,1373,2017-12-25 03:14:27,
129s,1389,2017-12-25 03:23:27,
36s,1415,2017-12-25 03:40:27,
79s,1434,2017-12-25 03:52:27,
83s,1446,2017-12-25 04:03:27,
163s,1452,2017-12-25 04:06:27,
131s,1458,2017-12-25 04:09:27,
84s,1461,2017-12-25 04:10:27,
168s,1492,2017-12-25 04:28:27,
35s,1494,2017-12-25 04:28:27,
58s,1533,2017-12-25 04:56:27,
192s,1549,2017-12-25 05:07:27,
138s,1554,2017-12-25 05:09:27,
5s,1555,2017-12-25 05:09:27,
85s,1571,2017-12-25 05:18:27,
191s,1578,2017-12-25 05:21:27,
170s,1606,2017-12-25 05:37:27,
132s,1607,2017-12-25 05:38:27,
156s,1640,2017-12-25 06:01:27,
3s,1665,2017-12-25 06:20:27,
166s,1671,2017-12-25 06:23:27,
181s,1672,2017-12-25 06:23:27,
187s,1683,2017-12-25 06:29:27,
154s,1693,2017-12-25 06:35:27,
104s,1700,2017-12-25 06:41:27,
59s,1718,2017-12-25 06:52:27,
121s,1724,2017-12-25 06:56:27,
2s,1732,2017-12-25 07:00:27,
148s,1745,2017-12-25 07:08:27,
23s,1765,2017-12-25 07:20:27,
186s,1784,2017-12-25 07:34:27,
143s,1786,2017-12-25 07:34:27,
101s,1789,2017-12-25 07:35:27,
32s,1798,2017-12-25 07:41:27,
114s,1800,2017-12-25 07:42:27,
161s,1807,2017-12-25 07:46:27,
120s,1811,2017-12-25 07:47:27,
160s,1831,2017-12-25 08:00:27,
43s,1848,2017-12-25 08:12:27,
64s,1858,2017-12-25 08:16:27,
34s,1867,2017-12-25 08:20:27,
7s,1869,2017-12-25 08:21:27,
155s,1874,2017-12-25 08:23:27,
184s,1883,2017-12-25 08:29:27,
80s,1899,2017-12-25 08:38:27,
107s,1908,2017-12-25 08:43:27,
173s,1937,2017-12-25 09:01:27,
105s,1958,2017-12-25 09:16:27,
149s,1964,2017-12-25 09:20:27,
81s,1965,2017-12-25 09:20:27,
18s,1966,2017-12-25 09:20:27,
118s,1982,2017-12-25 09:33:27,
123s,1987,2017-12-25 09:36:27,
68s,1994,2017-12-25 09:39:27,
106s,2000,2017-12-25 09:44:27,
57s,2015,2017-12-25 09:54:27,
135s,2018,2017-12-25 09:55:27,
65s,2027,2017-12-25 10:01:27,
179s,2034,2017-12-25 10:04:27,
62s,2062,2017-12-25 10:23:27,
172s,2080,2017-12-25 10:35:27,
70s,2090,2017-12-25 10:42:27,
17s,2094,2017-12-25 10:44:27,
100s,2095,2017-12-25 10:44:27,
67s,2110,2017-12-25 10:55:27,
22s,2116,2017-12-25 10:58:27,
87s,2134,2017-12-25 11:08:27,
163s,2161,2017-12-25 11:25:27,
84s,2169,2017-12-25 11:30:27,
127s,2195,2017-12-25 11:47:27,
91s,2212,2017-12-25 12:01:27,
66s,2234,2017-12-25 12:16:27,
131s,2237,2017-12-25 12:18:27,
75s,2250,2017-12-25 12:25:27,
88s,2306,2017-12-25 13:02:27,
98s,2310,2017-12-25 13:03:27,
109s,2335,2017-12-25 13:19:27,
29s,2349,2017-12-25 13:28:27,
19s,2382,2017-12-25 13:52:27,
41s,2388,2017-12-25 13:55:27,
90s,2417,2017-12-25 14:18:27,
27s,2428,2017-12-25 14:27:27,
151s,2430,2017-12-25 14:29:27,
69s,2465,2017-12-25 14:53:27,
115s,2519,2017-12-25 15:36:27,
76s,2541,2017-12-25 15:51:27,
8s,2557,2017-12-25 15:59:27,
134s,2597,2017-12-25 16:27:27,
42s,2623,2017-12-25 16:44:27,
58s,2651,2017-12-25 17:04:27,
153s,2738,2017-12-25 18:08:27,
139s,2745,2017-12-25 18:19:27,
56s,2773,2017-12-25 18:37:27,
71s,2780,2017-12-25 18:44:27,
178s,2785,2017-12-25 18:51:27,
153s,2798,2017-12-25 19:04:27,
139s,2900,2017-12-25 20:08:27,
25s,2912,2017-12-25 20:16:27,
118s,2947,2017-12-25 20:38:27,
105s,2952,2017-12-25 20:41:27,
148s,2957,2017-12-25 20:44:27,
17s,2958,2017-12-25 20:44:27,
114s,2962,2017-12-25 20:47:27,
138s,2963,2017-12-25 20:47:27,
65s,2965,2017-12-25 20:47:27,
7s,2969,2017-12-25 20:49:27,
161s,2972,2017-12-25 20:51:27,
132s,2976,2017-12-25 20:55:27,
20s,2982,2017-12-25 20:57:27,
107s,3000,2017-12-25 21:14:27,
64s,3001,2017-12-25 21:14:27,
192s,3011,2017-12-25 21:20:27,
166s,3014,2017-12-25 21:20:27,
67s,3016,2017-12-25 21:21:27,
154s,3021,2017-12-25 21:24:27,
