Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 01:51:26,6p,1336
collector,2017-12-25 01:54:26,36p,1339
extraCheck,2017-12-25 01:54:26,6p,1344
packageDone,2017-12-25 02:11:26,6p,1349
packageDone,2017-12-25 02:20:26,36p,1368
collector,2017-12-25 02:21:26,83p,1374
collector,2017-12-25 02:24:26,85p,1380
extraCheck,2017-12-25 02:29:26,83p,1385
collector,2017-12-25 02:30:26,1p,1390
packageDone,2017-12-25 02:37:26,83p,1393
collector,2017-12-25 02:40:26,44p,1400
extraCheck,2017-12-25 02:49:26,1p,1406
collector,2017-12-25 03:00:26,30p,1418
packageDone,2017-12-25 03:00:26,1p,1414
extraCheck,2017-12-25 03:05:26,85p,1430
packageDone,2017-12-25 03:11:26,85p,1433
collector,2017-12-25 03:15:26,61p,1442
packageDone,2017-12-25 03:27:26,44p,1443
collector,2017-12-25 03:28:26,12p,1451
extraCheck,2017-12-25 03:34:26,30p,1459
collector,2017-12-25 03:35:26,86p,1463
packageDone,2017-12-25 03:44:26,30p,1464
collector,2017-12-25 03:50:26,20p,1473
extraCheck,2017-12-25 03:54:26,61p,1475
packageDone,2017-12-25 04:05:26,61p,1479
extraCheck,2017-12-25 04:15:26,12p,1484
packageDone,2017-12-25 04:26:26,12p,1492
extraCheck,2017-12-25 04:34:26,86p,1499
collector,2017-12-25 04:35:26,62p,1504
collector,2017-12-25 04:42:26,55p,1510
packageDone,2017-12-25 04:47:26,86p,1506
collector,2017-12-25 04:53:26,29p,1522
packageDone,2017-12-25 05:02:26,20p,1519
collector,2017-12-25 05:08:26,67p,1532
extraCheck,2017-12-25 05:12:26,62p,1530
packageDone,2017-12-25 05:19:26,62p,1537
extraCheck,2017-12-25 05:26:26,55p,1541
packageDone,2017-12-25 05:39:26,55p,1542
collector,2017-12-25 05:44:26,2p,1551
extraCheck,2017-12-25 05:51:26,29p,1550
packageDone,2017-12-25 06:05:26,29p,1555
collector,2017-12-25 06:09:26,93p,1567
extraCheck,2017-12-25 06:17:26,67p,1568
packageDone,2017-12-25 06:20:26,67p,1572
extraCheck,2017-12-25 06:23:26,93p,1575
packageDone,2017-12-25 06:34:26,93p,1576
extraCheck,2017-12-25 06:39:26,2p,1585
collector,2017-12-25 06:45:26,42p,1593
packageDone,2017-12-25 06:53:26,2p,1588
collector,2017-12-25 07:00:26,8p,1601
extraCheck,2017-12-25 07:01:26,42p,1599
packageDone,2017-12-25 07:07:26,42p,1604
extraCheck,2017-12-25 07:11:26,8p,1608
packageDone,2017-12-25 07:22:26,8p,1609
