Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
1733RP,2017-12-25 02:27:21,2017-12-25 02:29:21,putdown current shelf,process activity,robot,166r,shelf,-1s,1314
3187RP,2017-12-25 02:33:21,2017-12-25 02:36:21,putdown current shelf,process activity,robot,240r,shelf,-1s,1318
1212RP,2017-12-25 02:34:21,2017-12-25 02:41:21,putdown current shelf,process activity,robot,243r,shelf,-1s,1320
1212RP,2017-12-25 02:42:21,2017-12-25 02:44:21,go to approriate shelf,process activity,robot,243r,shelf,168s,1324
1733RP,2017-12-25 02:30:21,2017-12-25 02:46:21,go to approriate shelf,process activity,robot,166r,shelf,59s,1316
3187RP,2017-12-25 02:37:21,2017-12-25 02:51:21,go to approriate shelf,process activity,robot,240r,shelf,147s,1322
1212RP,2017-12-25 02:48:21,2017-12-25 02:53:21,move shelf to dock,process activity,robot,243r,shelf,168s,1330
3266RP,2017-12-25 02:51:21,2017-12-25 02:53:21,putdown current shelf,process activity,robot,60r,shelf,-1s,1333
1299RP,2017-12-25 02:58:21,2017-12-25 03:02:21,putdown current shelf,process activity,robot,81r,shelf,-1s,1348
2420RP,2017-12-25 02:56:21,2017-12-25 03:03:21,putdown current shelf,process activity,robot,136r,shelf,-1s,1342
1733RP,2017-12-25 03:00:21,2017-12-25 03:03:21,reduce speed,process activity,robot,166r,shelf,59s,1352
1733RP,2017-12-25 02:48:21,2017-12-25 03:03:21,move shelf to dock,process activity,robot,166r,shelf,59s,1328
3266RP,2017-12-25 02:54:21,2017-12-25 03:05:21,go to approriate shelf,process activity,robot,60r,shelf,136s,1337
1212RP,2017-12-25 02:59:21,2017-12-25 03:08:21,move shelf from dock,process activity,robot,243r,shelf,168s,1350
3187RP,2017-12-25 02:59:21,2017-12-25 03:12:21,reduce speed,process activity,robot,240r,shelf,147s,1349
3187RP,2017-12-25 02:53:21,2017-12-25 03:12:21,move shelf to dock,process activity,robot,240r,shelf,147s,1335
3713RP,2017-12-25 03:11:21,2017-12-25 03:16:21,putdown current shelf,process activity,robot,80r,shelf,-1s,1367
1299RP,2017-12-25 03:02:21,2017-12-25 03:19:21,go to approriate shelf,process activity,robot,81r,shelf,141s,1354
2314RP,2017-12-25 03:12:21,2017-12-25 03:23:21,putdown current shelf,process activity,robot,108r,shelf,-1s,1369
3713RP,2017-12-25 03:16:21,2017-12-25 03:25:21,go to approriate shelf,process activity,robot,80r,shelf,13s,1374
2420RP,2017-12-25 03:03:21,2017-12-25 03:26:21,go to approriate shelf,process activity,robot,136r,shelf,161s,1356
3266RP,2017-12-25 03:19:21,2017-12-25 03:32:21,reduce speed,process activity,robot,60r,shelf,136s,1379
3266RP,2017-12-25 03:07:21,2017-12-25 03:32:21,move shelf to dock,process activity,robot,60r,shelf,136s,1360
1733RP,2017-12-25 03:16:21,2017-12-25 03:34:21,move shelf from dock,process activity,robot,166r,shelf,59s,1373
2420RP,2017-12-25 03:28:21,2017-12-25 03:36:21,move shelf to dock,process activity,robot,136r,shelf,161s,1390
2314RP,2017-12-25 03:23:21,2017-12-25 03:38:21,go to approriate shelf,process activity,robot,108r,shelf,109s,1386
1299RP,2017-12-25 03:21:21,2017-12-25 03:39:21,move shelf to dock,process activity,robot,81r,shelf,141s,1381
2083RP,2017-12-25 03:31:21,2017-12-25 03:42:21,putdown current shelf,process activity,robot,98r,shelf,-1s,1395
840RP,2017-12-25 03:39:21,2017-12-25 03:44:21,putdown current shelf,process activity,robot,144r,shelf,-1s,1408
3460RP,2017-12-25 03:36:21,2017-12-25 03:45:21,putdown current shelf,process activity,robot,59r,shelf,-1s,1404
3187RP,2017-12-25 03:29:21,2017-12-25 03:46:21,move shelf from dock,process activity,robot,240r,shelf,147s,1392
1727RP,2017-12-25 03:32:21,2017-12-25 03:46:21,putdown current shelf,process activity,robot,210r,shelf,-1s,1396
370RP,2017-12-25 03:44:21,2017-12-25 03:53:21,putdown current shelf,process activity,robot,192r,shelf,-1s,1416
2083RP,2017-12-25 03:43:21,2017-12-25 03:53:21,go to approriate shelf,process activity,robot,98r,shelf,25s,1414
3713RP,2017-12-25 03:38:21,2017-12-25 03:55:21,reduce speed,process activity,robot,80r,shelf,13s,1407
3713RP,2017-12-25 03:29:21,2017-12-25 03:55:21,move shelf to dock,process activity,robot,80r,shelf,13s,1391
2067RP,2017-12-25 03:42:21,2017-12-25 03:56:21,putdown current shelf,process activity,robot,109r,shelf,-1s,1412
2083RP,2017-12-25 03:55:21,2017-12-25 03:57:21,move shelf to dock,process activity,robot,98r,shelf,25s,1434
2067RP,2017-12-25 03:57:21,2017-12-25 04:04:21,go to approriate shelf,process activity,robot,109r,shelf,154s,1437
370RP,2017-12-25 03:53:21,2017-12-25 04:06:21,go to approriate shelf,process activity,robot,192r,shelf,22s,1432
840RP,2017-12-25 03:44:21,2017-12-25 04:08:21,go to approriate shelf,process activity,robot,144r,shelf,63s,1417
27RP,2017-12-25 03:56:21,2017-12-25 04:10:21,putdown current shelf,process activity,robot,170r,shelf,-1s,1436
1727RP,2017-12-25 03:47:21,2017-12-25 04:11:21,go to approriate shelf,process activity,robot,210r,shelf,0s,1422
3460RP,2017-12-25 03:46:21,2017-12-25 04:13:21,go to approriate shelf,process activity,robot,59r,shelf,72s,1420
2282RP,2017-12-25 04:06:21,2017-12-25 04:15:21,putdown current shelf,process activity,robot,75r,shelf,-1s,1455
2420RP,2017-12-25 04:04:21,2017-12-25 04:16:21,move shelf from dock,process activity,robot,136r,shelf,161s,1452
895RP,2017-12-25 03:57:21,2017-12-25 04:17:21,putdown current shelf,process activity,robot,167r,shelf,-1s,1438
3266RP,2017-12-25 04:01:21,2017-12-25 04:19:21,move shelf from dock,process activity,robot,60r,shelf,136s,1448
1691RP,2017-12-25 04:11:21,2017-12-25 04:20:21,putdown current shelf,process activity,robot,34r,shelf,-1s,1460
895RP,2017-12-25 04:18:21,2017-12-25 04:22:21,go to approriate shelf,process activity,robot,167r,shelf,164s,1474
3460RP,2017-12-25 04:14:21,2017-12-25 04:24:21,move shelf to dock,process activity,robot,59r,shelf,72s,1464
2282RP,2017-12-25 04:16:21,2017-12-25 04:25:21,go to approriate shelf,process activity,robot,75r,shelf,135s,1470
895RP,2017-12-25 04:24:21,2017-12-25 04:26:21,move shelf to dock,process activity,robot,167r,shelf,164s,1485
27RP,2017-12-25 04:10:21,2017-12-25 04:29:21,go to approriate shelf,process activity,robot,170r,shelf,153s,1459
2067RP,2017-12-25 04:19:21,2017-12-25 04:30:21,reduce speed,process activity,robot,109r,shelf,154s,1477
2067RP,2017-12-25 04:06:21,2017-12-25 04:30:21,move shelf to dock,process activity,robot,109r,shelf,154s,1454
2282RP,2017-12-25 04:26:21,2017-12-25 04:33:21,move shelf to dock,process activity,robot,75r,shelf,135s,1489
2314RP,2017-12-25 04:17:21,2017-12-25 04:35:21,reduce speed,process activity,robot,108r,shelf,109s,1473
2314RP,2017-12-25 03:52:21,2017-12-25 04:35:21,move shelf to dock,process activity,robot,108r,shelf,109s,1430
840RP,2017-12-25 04:15:21,2017-12-25 04:36:21,move shelf to dock,process activity,robot,144r,shelf,63s,1469
1727RP,2017-12-25 04:15:21,2017-12-25 04:38:21,move shelf to dock,process activity,robot,210r,shelf,0s,1466
1691RP,2017-12-25 04:20:21,2017-12-25 04:38:21,go to approriate shelf,process activity,robot,34r,shelf,111s,1479
3112RP,2017-12-25 04:21:21,2017-12-25 04:39:21,putdown current shelf,process activity,robot,54r,shelf,-1s,1482
370RP,2017-12-25 04:24:21,2017-12-25 04:40:21,reduce speed,process activity,robot,192r,shelf,22s,1486
370RP,2017-12-25 04:08:21,2017-12-25 04:40:21,move shelf to dock,process activity,robot,192r,shelf,22s,1457
2856RP,2017-12-25 04:35:21,2017-12-25 04:43:21,putdown current shelf,process activity,robot,114r,shelf,-1s,1502
3843RP,2017-12-25 04:47:21,2017-12-25 04:53:21,putdown current shelf,process activity,robot,113r,shelf,-1s,1521
1691RP,2017-12-25 04:39:21,2017-12-25 04:56:21,move shelf to dock,process activity,robot,34r,shelf,111s,1508
3112RP,2017-12-25 04:40:21,2017-12-25 05:00:21,go to approriate shelf,process activity,robot,54r,shelf,117s,1509
