Chip,Timestamp,Item Id,Entry Id
shelfMoved,2017-12-25 01:27:32,0r,1323
shelfDelivered,2017-12-25 01:40:32,0r,1331
shelfMoved,2017-12-25 01:42:32,3r,1333
disposeShelf,2017-12-25 01:44:32,0r,1335
shelfMoved,2017-12-25 01:51:32,5r,1344
shelfDelivered,2017-12-25 01:54:32,3r,1348
disposeShelf,2017-12-25 01:58:32,3r,1352
shelfMoved,2017-12-25 02:02:32,6r,1358
shelfMoved,2017-12-25 02:13:32,4r,1371
shelfDelivered,2017-12-25 02:14:32,6r,1372
shelfMoved,2017-12-25 02:15:32,9r,1374
shelfMoved,2017-12-25 02:17:32,7r,1377
disposeShelf,2017-12-25 02:21:32,6r,1379
shelfDelivered,2017-12-25 02:22:32,4r,1380
shelfDelivered,2017-12-25 02:24:32,5r,1383
disposeShelf,2017-12-25 02:31:32,5r,1396
disposeShelf,2017-12-25 02:33:32,4r,1398
shelfDelivered,2017-12-25 02:34:32,9r,1399
disposeShelf,2017-12-25 02:38:32,9r,1404
shelfDelivered,2017-12-25 02:46:32,7r,1408
shelfMoved,2017-12-25 02:50:32,8r,1412
disposeShelf,2017-12-25 02:52:32,7r,1414
shelfDelivered,2017-12-25 03:01:32,8r,1424
disposeShelf,2017-12-25 03:06:32,8r,1427
shelfMoved,2017-12-25 03:12:32,1r,1429
shelfMoved,2017-12-25 03:13:32,0r,1430
shelfDelivered,2017-12-25 03:22:32,1r,1439
disposeShelf,2017-12-25 03:25:32,1r,1441
shelfMoved,2017-12-25 03:27:32,2r,1442
shelfDelivered,2017-12-25 03:28:32,0r,1444
disposeShelf,2017-12-25 03:33:32,0r,1452
shelfDelivered,2017-12-25 03:50:32,2r,1469
disposeShelf,2017-12-25 03:54:32,2r,1473
shelfMoved,2017-12-25 03:57:32,5r,1475
shelfMoved,2017-12-25 04:05:32,3r,1481
shelfDelivered,2017-12-25 04:16:32,5r,1491
shelfDelivered,2017-12-25 04:20:32,3r,1495
disposeShelf,2017-12-25 04:23:32,5r,1499
disposeShelf,2017-12-25 04:24:32,3r,1501
shelfMoved,2017-12-25 04:27:32,7r,1503
shelfDelivered,2017-12-25 04:41:32,7r,1512
shelfMoved,2017-12-25 04:43:32,8r,1513
disposeShelf,2017-12-25 04:49:32,7r,1518
shelfDelivered,2017-12-25 04:53:32,8r,1523
disposeShelf,2017-12-25 04:57:32,8r,1526
shelfMoved,2017-12-25 05:05:32,4r,1528
shelfDelivered,2017-12-25 05:20:32,4r,1534
disposeShelf,2017-12-25 05:24:32,4r,1540
shelfMoved,2017-12-25 05:48:32,9r,1551
shelfMoved,2017-12-25 06:05:32,5r,1563
shelfDelivered,2017-12-25 06:12:32,9r,1567
