Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 01:43:32,92p,1332
collector,2017-12-25 01:57:32,64p,1351
packageDone,2017-12-25 02:00:32,92p,1339
extraCheck,2017-12-25 02:11:32,64p,1365
collector,2017-12-25 02:19:32,3p,1375
packageDone,2017-12-25 02:24:32,64p,1369
collector,2017-12-25 02:28:32,16p,1387
collector,2017-12-25 02:31:32,52p,1390
collector,2017-12-25 02:37:32,44p,1402
extraCheck,2017-12-25 02:39:32,3p,1394
collector,2017-12-25 02:51:32,61p,1409
packageDone,2017-12-25 02:52:32,3p,1406
extraCheck,2017-12-25 02:59:32,16p,1419
collector,2017-12-25 03:04:32,90p,1426
packageDone,2017-12-25 03:14:32,16p,1423
collector,2017-12-25 03:25:32,87p,1440
packageDone,2017-12-25 03:28:32,52p,1437
collector,2017-12-25 03:32:32,58p,1447
packageDone,2017-12-25 03:33:32,44p,1450
extraCheck,2017-12-25 03:40:32,61p,1457
packageDone,2017-12-25 03:46:32,61p,1462
collector,2017-12-25 03:52:32,65p,1470
extraCheck,2017-12-25 03:58:32,90p,1468
packageDone,2017-12-25 04:12:32,90p,1477
extraCheck,2017-12-25 04:20:32,87p,1489
collector,2017-12-25 04:22:32,71p,1493
collector,2017-12-25 04:24:32,17p,1498
packageDone,2017-12-25 04:28:32,87p,1496
extraCheck,2017-12-25 04:33:32,58p,1507
packageDone,2017-12-25 04:46:32,58p,1508
collector,2017-12-25 04:47:32,89p,1515
extraCheck,2017-12-25 04:53:32,65p,1520
collector,2017-12-25 04:55:32,22p,1525
packageDone,2017-12-25 05:06:32,65p,1524
extraCheck,2017-12-25 05:14:32,71p,1532
packageDone,2017-12-25 05:20:32,71p,1533
collector,2017-12-25 05:23:32,95p,1535
extraCheck,2017-12-25 05:30:32,17p,1539
packageDone,2017-12-25 05:37:32,17p,1542
extraCheck,2017-12-25 05:44:32,89p,1546
packageDone,2017-12-25 05:49:32,89p,1550
extraCheck,2017-12-25 05:57:32,22p,1555
packageDone,2017-12-25 06:11:32,22p,1560
