Shelf Id,Event Id,Timestamp, 
73s,1354,2017-12-25 03:04:27,
103s,1359,2017-12-25 03:06:27,
128s,1364,2017-12-25 03:08:27,
152s,1365,2017-12-25 03:08:27,
160s,1382,2017-12-25 03:20:27,
63s,1402,2017-12-25 03:30:27,
19s,1424,2017-12-25 03:44:27,
149s,1438,2017-12-25 03:55:27,
58s,1441,2017-12-25 03:58:27,
123s,1466,2017-12-25 04:12:27,
69s,1467,2017-12-25 04:12:27,
148s,1484,2017-12-25 04:21:27,
155s,1499,2017-12-25 04:32:27,
119s,1523,2017-12-25 04:47:27,
199s,1539,2017-12-25 04:57:27,
15s,1549,2017-12-25 05:02:27,
100s,1564,2017-12-25 05:11:27,
175s,1565,2017-12-25 05:11:27,
110s,1592,2017-12-25 05:27:27,
60s,1594,2017-12-25 05:28:27,
28s,1596,2017-12-25 05:30:27,
178s,1602,2017-12-25 05:33:27,
129s,1606,2017-12-25 05:34:27,
103s,1621,2017-12-25 05:43:27,
17s,1633,2017-12-25 05:48:27,
130s,1653,2017-12-25 06:02:27,
36s,1680,2017-12-25 06:21:27,
116s,1698,2017-12-25 06:33:27,
57s,1702,2017-12-25 06:35:27,
172s,1703,2017-12-25 06:35:27,
0s,1715,2017-12-25 06:43:27,
76s,1716,2017-12-25 06:43:27,
162s,1737,2017-12-25 06:58:27,
42s,1739,2017-12-25 06:58:27,
191s,1760,2017-12-25 07:12:27,
86s,1770,2017-12-25 07:19:27,
153s,1797,2017-12-25 07:38:27,
145s,1811,2017-12-25 07:46:27,
92s,1829,2017-12-25 07:56:27,
140s,1838,2017-12-25 08:00:27,
163s,1846,2017-12-25 08:07:27,
108s,1848,2017-12-25 08:08:27,
170s,1856,2017-12-25 08:12:27,
181s,1862,2017-12-25 08:16:27,
182s,1866,2017-12-25 08:18:27,
90s,1869,2017-12-25 08:19:27,
122s,1875,2017-12-25 08:21:27,
186s,1903,2017-12-25 08:39:27,
72s,1904,2017-12-25 08:39:27,
18s,1912,2017-12-25 08:42:27,
132s,1924,2017-12-25 08:49:27,
67s,1934,2017-12-25 08:54:27,
165s,1948,2017-12-25 09:04:27,
196s,1990,2017-12-25 09:30:27,
105s,1998,2017-12-25 09:34:27,
198s,2061,2017-12-25 10:15:27,
173s,2063,2017-12-25 10:16:27,
69s,2067,2017-12-25 10:20:27,
15s,2077,2017-12-25 10:25:27,
62s,2090,2017-12-25 10:34:27,
82s,2091,2017-12-25 10:34:27,
131s,2096,2017-12-25 10:37:27,
188s,2113,2017-12-25 10:51:27,
81s,2121,2017-12-25 10:54:27,
123s,2123,2017-12-25 10:55:27,
149s,2126,2017-12-25 10:56:27,
160s,2129,2017-12-25 10:58:27,
98s,2145,2017-12-25 11:10:27,
34s,2146,2017-12-25 11:10:27,
12s,2160,2017-12-25 11:21:27,
187s,2164,2017-12-25 11:23:27,
83s,2170,2017-12-25 11:25:27,
135s,2176,2017-12-25 11:28:27,
97s,2181,2017-12-25 11:32:27,
78s,2190,2017-12-25 11:36:27,
85s,2207,2017-12-25 11:46:27,
124s,2229,2017-12-25 12:00:27,
39s,2254,2017-12-25 12:15:27,
117s,2256,2017-12-25 12:16:27,
143s,2300,2017-12-25 12:47:27,
19s,2303,2017-12-25 12:48:27,
70s,2315,2017-12-25 12:53:27,
