Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
77RP,2017-12-25 01:17:04,2017-12-25 01:22:04,putdown current shelf,process activity,robot,4r,shelf,-1s,1316
75RP,2017-12-25 01:18:04,2017-12-25 01:23:04,putdown current shelf,process activity,robot,2r,shelf,-1s,1318
75RP,2017-12-25 01:24:04,2017-12-25 01:26:04,go to approriate shelf,process activity,robot,2r,shelf,3s,1320
69RP,2017-12-25 01:31:04,2017-12-25 01:32:04,putdown current shelf,process activity,robot,6r,shelf,-1s,1327
75RP,2017-12-25 01:28:04,2017-12-25 01:36:04,move shelf to dock,process activity,robot,2r,shelf,3s,1323
77RP,2017-12-25 01:23:04,2017-12-25 01:37:04,go to approriate shelf,process activity,robot,4r,shelf,4s,1319
69RP,2017-12-25 01:33:04,2017-12-25 01:42:04,go to approriate shelf,process activity,robot,6r,shelf,2s,1328
77RP,2017-12-25 01:39:04,2017-12-25 01:44:04,move shelf to dock,process activity,robot,4r,shelf,4s,1334
21RP,2017-12-25 01:43:04,2017-12-25 01:47:04,putdown current shelf,process activity,robot,1r,shelf,-1s,1338
21RP,2017-12-25 01:46:04,2017-12-25 01:50:04,move shelf from dock,process activity,robot,2r,shelf,3s,1341
77RP,2017-12-25 01:50:04,2017-12-25 01:58:04,move shelf from dock,process activity,robot,4r,shelf,4s,1349
85RP,2017-12-25 01:55:04,2017-12-25 01:58:04,putdown current shelf,process activity,robot,3r,shelf,-1s,1355
21RP,2017-12-25 01:48:04,2017-12-25 02:02:04,go to approriate shelf,process activity,robot,1r,shelf,3s,1345
69RP,2017-12-25 01:56:04,2017-12-25 02:03:04,reduce speed,process activity,robot,6r,shelf,2s,1356
69RP,2017-12-25 01:44:04,2017-12-25 02:03:04,move shelf to dock,process activity,robot,6r,shelf,2s,1339
85RP,2017-12-25 01:58:04,2017-12-25 02:06:04,go to approriate shelf,process activity,robot,3r,shelf,4s,1357
21RP,2017-12-25 02:06:04,2017-12-25 02:10:04,move shelf to dock,process activity,robot,1r,shelf,3s,1362
39RP,2017-12-25 02:08:04,2017-12-25 02:13:04,putdown current shelf,process activity,robot,5r,shelf,-1s,1364
89RP,2017-12-25 02:14:04,2017-12-25 02:21:04,putdown current shelf,process activity,robot,0r,shelf,-1s,1377
2RP,2017-12-25 02:18:04,2017-12-25 02:24:04,putdown current shelf,process activity,robot,2r,shelf,3s,1384
69RP,2017-12-25 02:13:04,2017-12-25 02:26:04,move shelf from dock,process activity,robot,6r,shelf,2s,1374
21RP,2017-12-25 02:17:04,2017-12-25 02:27:04,move shelf from dock,process activity,robot,1r,shelf,3s,1380
39RP,2017-12-25 02:13:04,2017-12-25 02:27:04,go to approriate shelf,process activity,robot,5r,shelf,1s,1375
2RP,2017-12-25 02:25:04,2017-12-25 02:31:04,go to approriate shelf,process activity,robot,2r,shelf,0s,1389
89RP,2017-12-25 02:21:04,2017-12-25 02:33:04,go to approriate shelf,process activity,robot,0r,shelf,2s,1386
39RP,2017-12-25 02:29:04,2017-12-25 02:35:04,move shelf to dock,process activity,robot,5r,shelf,1s,1392
85RP,2017-12-25 02:22:04,2017-12-25 02:40:04,reduce speed,process activity,robot,3r,shelf,4s,1387
85RP,2017-12-25 02:11:04,2017-12-25 02:40:04,move shelf to dock,process activity,robot,3r,shelf,4s,1370
46RP,2017-12-25 02:38:04,2017-12-25 02:40:04,putdown current shelf,process activity,robot,9r,shelf,-1s,1400
39RP,2017-12-25 02:43:04,2017-12-25 02:54:04,move shelf from dock,process activity,robot,5r,shelf,1s,1414
46RP,2017-12-25 02:41:04,2017-12-25 02:54:04,go to approriate shelf,process activity,robot,9r,shelf,3s,1407
58RP,2017-12-25 02:53:04,2017-12-25 02:58:04,putdown current shelf,process activity,robot,8r,shelf,-1s,1422
89RP,2017-12-25 02:46:04,2017-12-25 02:59:04,reduce speed,process activity,robot,0r,shelf,2s,1416
89RP,2017-12-25 02:35:04,2017-12-25 02:59:04,move shelf to dock,process activity,robot,0r,shelf,2s,1396
85RP,2017-12-25 02:46:04,2017-12-25 03:01:04,move shelf from dock,process activity,robot,3r,shelf,4s,1417
2RP,2017-12-25 02:50:04,2017-12-25 03:04:04,reduce speed,process activity,robot,2r,shelf,0s,1418
2RP,2017-12-25 02:37:04,2017-12-25 03:04:04,move shelf to dock,process activity,robot,2r,shelf,0s,1399
46RP,2017-12-25 02:57:04,2017-12-25 03:07:04,move shelf to dock,process activity,robot,9r,shelf,3s,1426
58RP,2017-12-25 02:59:04,2017-12-25 03:13:04,go to approriate shelf,process activity,robot,8r,shelf,1s,1428
