Shelf Id,Event Id,Timestamp, 
21s,1339,2017-12-25 03:16:55,
7s,1360,2017-12-25 03:31:55,
38s,1377,2017-12-25 03:42:55,
14s,1378,2017-12-25 03:42:55,
2s,1401,2017-12-25 04:00:55,
28s,1421,2017-12-25 04:13:55,
34s,1429,2017-12-25 04:20:55,
3s,1438,2017-12-25 04:26:55,
30s,1477,2017-12-25 04:49:55,
38s,1501,2017-12-25 05:09:55,
22s,1503,2017-12-25 05:10:55,
23s,1508,2017-12-25 05:14:55,
4s,1509,2017-12-25 05:15:55,
18s,1510,2017-12-25 05:15:55,
16s,1511,2017-12-25 05:15:55,
0s,1514,2017-12-25 05:16:55,
13s,1536,2017-12-25 05:30:55,
39s,1571,2017-12-25 05:56:55,
31s,1581,2017-12-25 06:02:55,
11s,1627,2017-12-25 07:01:55,
21s,1641,2017-12-25 07:26:55,
34s,1686,2017-12-25 07:57:55,
10s,1691,2017-12-25 08:02:55,
8s,1749,2017-12-25 08:55:55,
7s,1774,2017-12-25 09:41:55,
32s,1813,2017-12-25 10:16:55,
5s,1825,2017-12-25 10:25:55,
6s,1826,2017-12-25 10:25:55,
16s,1829,2017-12-25 10:27:55,
18s,1847,2017-12-25 10:42:55,
2s,1873,2017-12-25 11:04:55,
10s,1935,2017-12-25 12:22:55,
30s,1943,2017-12-25 12:29:55,
13s,1948,2017-12-25 12:32:55,
23s,1949,2017-12-25 12:32:55,
24s,1983,2017-12-25 13:07:55,
17s,2001,2017-12-25 13:30:55,
5s,2013,2017-12-25 13:49:55,
39s,2046,2017-12-25 14:22:55,
20s,2085,2017-12-25 15:29:55,
1s,2100,2017-12-25 15:44:55,
19s,2120,2017-12-25 16:05:55,
9s,2137,2017-12-25 16:37:55,
30s,2162,2017-12-25 16:58:55,
23s,2170,2017-12-25 17:03:55,
17s,2176,2017-12-25 17:08:55,
1s,2185,2017-12-25 17:14:55,
24s,2187,2017-12-25 17:15:55,
4s,2206,2017-12-25 17:30:55,
20s,2252,2017-12-25 18:52:55,
25s,2254,2017-12-25 18:54:55,
21s,2299,2017-12-25 20:28:55,
27s,2309,2017-12-25 20:47:55,
19s,2312,2017-12-25 20:51:55,
17s,2375,2017-12-25 22:15:55,
36s,2380,2017-12-25 22:22:55,
23s,2387,2017-12-25 22:25:55,
1s,2388,2017-12-25 22:25:55,
26s,2398,2017-12-25 22:41:55,
33s,2437,2017-12-25 23:26:55,
24s,2458,2017-12-26 00:04:55,
37s,2483,2017-12-26 00:45:55,
34s,2528,2017-12-26 01:41:55,
33s,2552,2017-12-26 02:34:55,
37s,2573,2017-12-26 03:01:55,
18s,2594,2017-12-26 03:36:55,
4s,2602,2017-12-26 03:47:55,
24s,2631,2017-12-26 04:21:55,
16s,2663,2017-12-26 05:03:55,
28s,2667,2017-12-26 05:14:55,
34s,2694,2017-12-26 05:44:55,
33s,2703,2017-12-26 05:52:55,
23s,2728,2017-12-26 06:24:55,
16s,2733,2017-12-26 06:27:55,
37s,2784,2017-12-26 08:00:55,
26s,2823,2017-12-26 08:58:55,
