Shelf Id,Event Id,Timestamp, 
16s,1341,2017-12-25 03:20:02,
29s,1344,2017-12-25 03:22:02,
2s,1346,2017-12-25 03:23:02,
31s,1363,2017-12-25 03:37:02,
33s,1391,2017-12-25 03:59:02,
26s,1410,2017-12-25 04:11:02,
14s,1411,2017-12-25 04:11:02,
4s,1426,2017-12-25 04:24:02,
25s,1445,2017-12-25 04:36:02,
21s,1449,2017-12-25 04:38:02,
3s,1474,2017-12-25 04:52:02,
11s,1479,2017-12-25 04:55:02,
2s,1498,2017-12-25 05:06:02,
8s,1523,2017-12-25 05:27:02,
31s,1524,2017-12-25 05:27:02,
28s,1580,2017-12-25 06:10:02,
15s,1581,2017-12-25 06:12:02,
30s,1593,2017-12-25 06:24:02,
23s,1648,2017-12-25 07:21:02,
11s,1653,2017-12-25 07:23:02,
31s,1654,2017-12-25 07:23:02,
34s,1688,2017-12-25 07:49:02,
29s,1750,2017-12-25 08:59:02,
30s,1775,2017-12-25 09:19:02,
7s,1776,2017-12-25 09:19:02,
26s,1838,2017-12-25 10:34:02,
37s,1841,2017-12-25 10:35:02,
13s,1876,2017-12-25 11:07:02,
27s,1916,2017-12-25 11:42:02,
25s,1920,2017-12-25 11:45:02,
35s,1921,2017-12-25 11:45:02,
36s,1931,2017-12-25 11:54:02,
32s,1937,2017-12-25 11:58:02,
0s,1941,2017-12-25 12:01:02,
34s,1959,2017-12-25 12:12:02,
24s,1991,2017-12-25 12:37:02,
34s,2026,2017-12-25 13:32:02,
16s,2051,2017-12-25 14:01:02,
6s,2057,2017-12-25 14:11:02,
11s,2110,2017-12-25 15:14:02,
5s,2112,2017-12-25 15:21:02,
22s,2127,2017-12-25 15:32:02,
33s,2158,2017-12-25 16:05:02,
9s,2166,2017-12-25 16:10:02,
28s,2202,2017-12-25 17:06:02,
19s,2231,2017-12-25 18:05:02,
31s,2254,2017-12-25 18:42:02,
9s,2280,2017-12-25 19:26:02,
27s,2296,2017-12-25 19:47:02,
20s,2308,2017-12-25 20:06:02,
33s,2337,2017-12-25 20:33:02,
1s,2343,2017-12-25 20:36:02,
8s,2383,2017-12-25 21:23:02,
23s,2387,2017-12-25 21:29:02,
9s,2415,2017-12-25 22:13:02,
30s,2461,2017-12-25 23:31:02,
5s,2471,2017-12-25 23:48:02,
16s,2486,2017-12-26 00:02:02,
1s,2504,2017-12-26 00:17:02,
8s,2510,2017-12-26 00:21:02,
28s,2532,2017-12-26 00:44:02,
4s,2548,2017-12-26 01:11:02,
24s,2581,2017-12-26 01:57:02,
23s,2594,2017-12-26 02:20:02,
5s,2622,2017-12-26 02:53:02,
19s,2652,2017-12-26 03:32:02,
9s,2661,2017-12-26 03:47:02,
38s,2696,2017-12-26 04:33:02,
4s,2714,2017-12-26 04:58:02,
20s,2755,2017-12-26 05:59:02,
16s,2761,2017-12-26 06:06:02,
19s,2825,2017-12-26 07:49:02,
16s,2826,2017-12-26 07:51:02,
17s,2844,2017-12-26 08:14:02,
