Shelf Id,Event Id,Timestamp, 
33s,1372,2017-12-25 03:41:21,
14s,1380,2017-12-25 03:46:21,
26s,1411,2017-12-25 04:07:21,
0s,1418,2017-12-25 04:12:21,
7s,1426,2017-12-25 04:17:21,
24s,1430,2017-12-25 04:19:21,
35s,1432,2017-12-25 04:21:21,
26s,1479,2017-12-25 04:55:21,
17s,1500,2017-12-25 05:21:21,
14s,1507,2017-12-25 05:25:21,
5s,1527,2017-12-25 05:44:21,
6s,1530,2017-12-25 05:45:21,
9s,1574,2017-12-25 06:16:21,
36s,1581,2017-12-25 06:27:21,
12s,1588,2017-12-25 06:31:21,
18s,1590,2017-12-25 06:32:21,
34s,1600,2017-12-25 06:41:21,
5s,1638,2017-12-25 07:15:21,
21s,1674,2017-12-25 07:51:21,
26s,1684,2017-12-25 08:00:21,
7s,1697,2017-12-25 08:13:21,
17s,1704,2017-12-25 08:17:21,
20s,1736,2017-12-25 08:41:21,
33s,1747,2017-12-25 08:54:21,
10s,1767,2017-12-25 09:22:21,
19s,1805,2017-12-25 10:04:21,
34s,1814,2017-12-25 10:10:21,
18s,1838,2017-12-25 10:31:21,
31s,1846,2017-12-25 10:39:21,
18s,1868,2017-12-25 11:14:21,
13s,1889,2017-12-25 11:46:21,
6s,1910,2017-12-25 12:16:21,
10s,1916,2017-12-25 12:21:21,
8s,1938,2017-12-25 12:41:21,
9s,1944,2017-12-25 12:48:21,
26s,1958,2017-12-25 13:00:21,
1s,1987,2017-12-25 13:31:21,
30s,2004,2017-12-25 13:58:21,
35s,2042,2017-12-25 15:06:21,
24s,2052,2017-12-25 15:17:21,
6s,2088,2017-12-25 16:07:21,
2s,2094,2017-12-25 16:14:21,
31s,2117,2017-12-25 16:36:21,
29s,2162,2017-12-25 17:31:21,
5s,2170,2017-12-25 17:44:21,
14s,2200,2017-12-25 18:32:21,
7s,2221,2017-12-25 18:56:21,
39s,2232,2017-12-25 19:03:21,
32s,2305,2017-12-25 21:36:21,
27s,2339,2017-12-25 22:33:21,
37s,2364,2017-12-25 23:07:21,
6s,2378,2017-12-25 23:37:21,
27s,2398,2017-12-26 00:11:21,
32s,2432,2017-12-26 01:16:21,
26s,2433,2017-12-26 01:16:21,
14s,2437,2017-12-26 01:19:21,
22s,2459,2017-12-26 01:47:21,
0s,2504,2017-12-26 03:05:21,
33s,2508,2017-12-26 03:09:21,
27s,2511,2017-12-26 03:11:21,
15s,2545,2017-12-26 03:42:21,
27s,2568,2017-12-26 04:09:21,
33s,2582,2017-12-26 04:29:21,
14s,2602,2017-12-26 04:55:21,
26s,2618,2017-12-26 05:06:21,
35s,2637,2017-12-26 05:24:21,
37s,2655,2017-12-26 05:43:21,
22s,2659,2017-12-26 05:46:21,
20s,2676,2017-12-26 06:12:21,
2s,2736,2017-12-26 07:32:21,
17s,2739,2017-12-26 07:34:21,
37s,2774,2017-12-26 08:34:21,
16s,2790,2017-12-26 08:57:21,
23s,2811,2017-12-26 09:29:21,
