Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
673CP,2017-12-25 02:42:21,2017-12-25 02:53:21,Request product,process activity,clerk,1c,product,673p,1312
673CP,2017-12-25 02:54:21,2017-12-25 02:54:21,Assgin robot,process activity,robot,14r,shelf,4s,1315
765CP,2017-12-25 02:41:21,2017-12-25 03:07:21,Request product,process activity,clerk,1c,product,765p,1311
765CP,2017-12-25 03:07:21,2017-12-25 03:07:21,Assgin robot,process activity,robot,12r,shelf,35s,1324
623CP,2017-12-25 02:50:21,2017-12-25 03:07:21,Request product,process activity,clerk,1c,product,623p,1314
623CP,2017-12-25 03:08:21,2017-12-25 03:08:21,Assgin robot,process activity,robot,22r,shelf,32s,1325
460CP,2017-12-25 02:47:21,2017-12-25 03:09:21,Request product,process activity,clerk,1c,product,460p,1313
460CP,2017-12-25 03:09:21,2017-12-25 03:09:21,Assgin robot,process activity,robot,13r,shelf,14s,1328
115CP,2017-12-25 03:15:21,2017-12-25 03:18:21,Request product,process activity,clerk,1c,product,115p,1335
673CP,2017-12-25 03:18:21,2017-12-25 03:18:21,check if the product was shaked,process activity,clerk,1c,product,673p,1339
115CP,2017-12-25 03:18:21,2017-12-25 03:19:21,Assgin robot,process activity,robot,21r,shelf,33s,1340
756CP,2017-12-25 02:58:21,2017-12-25 03:19:21,Request product,process activity,clerk,1c,product,756p,1318
631CP,2017-12-25 02:54:21,2017-12-25 03:20:21,Request product,process activity,clerk,1c,product,631p,1316
631CP,2017-12-25 03:20:21,2017-12-25 03:20:21,Assgin robot,process activity,robot,15r,shelf,36s,1343
756CP,2017-12-25 03:21:21,2017-12-25 03:21:21,Assgin robot,process activity,robot,1r,shelf,26s,1344
28CP,2017-12-25 03:03:21,2017-12-25 03:25:21,Request product,process activity,clerk,1c,product,28p,1320
28CP,2017-12-25 03:25:21,2017-12-25 03:25:21,Assgin robot,process activity,robot,10r,shelf,26s,1349
673CP,2017-12-25 03:27:21,2017-12-25 03:27:21,Product Delivered,process activity,clerk,1c,product,673p,1351
699CP,2017-12-25 03:26:21,2017-12-25 03:33:21,Request product,process activity,clerk,1c,product,699p,1350
699CP,2017-12-25 03:34:21,2017-12-25 03:34:21,Assgin robot,process activity,robot,9r,shelf,18s,1360
641CP,2017-12-25 03:07:21,2017-12-25 03:36:21,Request product,process activity,clerk,1c,product,641p,1323
641CP,2017-12-25 03:36:21,2017-12-25 03:36:21,Assgin robot,process activity,robot,8r,shelf,26s,1363
622CP,2017-12-25 03:11:21,2017-12-25 03:36:21,Request product,process activity,clerk,1c,product,622p,1330
622CP,2017-12-25 03:37:21,2017-12-25 03:37:21,Assgin robot,process activity,robot,11r,shelf,7s,1364
623CP,2017-12-25 03:45:21,2017-12-25 03:45:21,check if the product was shaked,process activity,clerk,1c,product,623p,1377
200CP,2017-12-25 03:42:21,2017-12-25 03:46:21,Request product,process activity,clerk,1c,product,200p,1374
152CP,2017-12-25 03:19:21,2017-12-25 03:46:21,Request product,process activity,clerk,1c,product,152p,1341
152CP,2017-12-25 03:47:21,2017-12-25 03:47:21,Assgin robot,process activity,robot,5r,shelf,24s,1381
124CP,2017-12-25 03:36:21,2017-12-25 03:49:21,Request product,process activity,clerk,1c,product,124p,1362
124CP,2017-12-25 03:50:21,2017-12-25 03:50:21,Assgin robot,process activity,robot,7r,shelf,0s,1385
