Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 03:20:11,419p,1353
collector,2017-12-25 03:34:11,181p,1368
packageDone,2017-12-25 03:41:11,419p,1359
collector,2017-12-25 03:50:11,379p,1381
collector,2017-12-25 03:57:11,605p,1390
extraCheck,2017-12-25 03:58:11,181p,1404
collector,2017-12-25 04:02:11,54p,1414
collector,2017-12-25 04:02:11,208p,1413
collector,2017-12-25 04:04:11,666p,1411
packageDone,2017-12-25 04:07:11,181p,1421
extraCheck,2017-12-25 04:14:11,379p,1435
packageDone,2017-12-25 04:23:11,379p,1439
collector,2017-12-25 04:37:11,272p,1465
collector,2017-12-25 04:37:11,160p,1464
collector,2017-12-25 04:42:11,542p,1463
collector,2017-12-25 04:45:11,213p,1471
extraCheck,2017-12-25 04:50:11,605p,1472
packageDone,2017-12-25 05:00:11,605p,1493
collector,2017-12-25 05:04:11,599p,1508
collector,2017-12-25 05:10:11,243p,1509
collector,2017-12-25 05:25:11,647p,1534
collector,2017-12-25 05:32:11,490p,1532
collector,2017-12-25 05:35:11,109p,1550
packageDone,2017-12-25 05:38:11,208p,1533
collector,2017-12-25 05:44:11,456p,1540
collector,2017-12-25 05:47:11,338p,1541
extraCheck,2017-12-25 05:51:11,54p,1578
collector,2017-12-25 05:52:11,693p,1576
collector,2017-12-25 05:54:11,582p,1575
collector,2017-12-25 05:56:11,385p,1581
packageDone,2017-12-25 05:58:11,54p,1582
collector,2017-12-25 06:03:11,527p,1594
extraCheck,2017-12-25 06:07:11,666p,1591
packageDone,2017-12-25 06:23:11,666p,1603
extraCheck,2017-12-25 06:39:11,385p,1616
collector,2017-12-25 06:48:11,568p,1628
collector,2017-12-25 06:54:11,692p,1633
packageDone,2017-12-25 06:56:11,385p,1620
collector,2017-12-25 06:57:11,471p,1638
extraCheck,2017-12-25 07:04:11,243p,1647
packageDone,2017-12-25 07:12:11,243p,1653
extraCheck,2017-12-25 07:24:11,160p,1660
packageDone,2017-12-25 07:28:11,160p,1665
collector,2017-12-25 07:32:11,591p,1672
collector,2017-12-25 07:35:11,248p,1670
extraCheck,2017-12-25 07:37:11,272p,1680
collector,2017-12-25 07:37:11,701p,1679
packageDone,2017-12-25 07:43:11,272p,1686
extraCheck,2017-12-25 07:59:11,542p,1696
collector,2017-12-25 08:07:11,761p,1717
packageDone,2017-12-25 08:14:11,542p,1707
collector,2017-12-25 08:16:11,765p,1722
packageDone,2017-12-25 08:24:11,213p,1735
collector,2017-12-25 08:35:11,111p,1746
collector,2017-12-25 08:37:11,509p,1748
collector,2017-12-25 08:39:11,461p,1756
packageDone,2017-12-25 08:43:11,599p,1741
packageDone,2017-12-25 09:00:11,647p,1767
collector,2017-12-25 09:02:11,663p,1784
collector,2017-12-25 09:08:11,220p,1791
packageDone,2017-12-25 09:17:11,490p,1786
collector,2017-12-25 09:27:11,192p,1802
collector,2017-12-25 09:30:11,290p,1805
packageDone,2017-12-25 09:32:11,109p,1799
extraCheck,2017-12-25 09:36:11,456p,1814
packageDone,2017-12-25 09:45:11,456p,1815
packageDone,2017-12-25 09:49:11,338p,1825
extraCheck,2017-12-25 10:00:11,693p,1832
collector,2017-12-25 10:02:11,92p,1836
packageDone,2017-12-25 10:14:11,693p,1835
packageDone,2017-12-25 10:25:11,582p,1848
extraCheck,2017-12-25 10:34:11,692p,1860
collector,2017-12-25 10:48:11,507p,1877
packageDone,2017-12-25 10:50:11,692p,1867
extraCheck,2017-12-25 10:57:11,527p,1887
collector,2017-12-25 11:01:11,17p,1898
packageDone,2017-12-25 11:03:11,527p,1895
collector,2017-12-25 11:08:11,366p,1908
collector,2017-12-25 11:14:11,467p,1915
extraCheck,2017-12-25 11:16:11,568p,1904
