Chip,Timestamp,Item Id,Entry Id
shelfMoved,2017-12-25 03:07:55,17r,1328
shelfMoved,2017-12-25 03:14:55,0r,1335
shelfMoved,2017-12-25 03:16:55,6r,1338
shelfDelivered,2017-12-25 03:23:55,6r,1349
shelfMoved,2017-12-25 03:26:55,20r,1353
disposeShelf,2017-12-25 03:29:55,6r,1356
shelfDelivered,2017-12-25 03:33:55,0r,1363
shelfMoved,2017-12-25 03:35:55,22r,1365
shelfDelivered,2017-12-25 03:38:55,17r,1369
shelfMoved,2017-12-25 03:43:55,5r,1379
shelfMoved,2017-12-25 03:46:55,1r,1382
shelfMoved,2017-12-25 03:48:55,19r,1385
disposeShelf,2017-12-25 03:50:55,0r,1387
shelfDelivered,2017-12-25 03:52:55,1r,1388
disposeShelf,2017-12-25 03:54:55,17r,1391
shelfMoved,2017-12-25 03:59:55,8r,1399
shelfDelivered,2017-12-25 04:01:55,19r,1403
shelfDelivered,2017-12-25 04:01:55,22r,1404
shelfDelivered,2017-12-25 04:03:55,5r,1406
shelfDelivered,2017-12-25 04:07:55,20r,1411
disposeShelf,2017-12-25 04:12:55,1r,1418
shelfMoved,2017-12-25 04:14:55,18r,1422
disposeShelf,2017-12-25 04:16:55,5r,1424
disposeShelf,2017-12-25 04:18:55,19r,1425
shelfMoved,2017-12-25 04:20:55,9r,1427
disposeShelf,2017-12-25 04:23:55,20r,1433
shelfDelivered,2017-12-25 04:25:55,8r,1435
disposeShelf,2017-12-25 04:29:55,22r,1443
disposeShelf,2017-12-25 04:35:55,8r,1453
shelfMoved,2017-12-25 04:44:55,14r,1469
shelfMoved,2017-12-25 04:48:55,11r,1476
shelfMoved,2017-12-25 04:53:55,10r,1481
shelfMoved,2017-12-25 04:54:55,4r,1483
shelfMoved,2017-12-25 04:56:55,2r,1485
shelfMoved,2017-12-25 04:58:55,7r,1486
shelfMoved,2017-12-25 05:00:55,15r,1489
shelfDelivered,2017-12-25 05:01:55,18r,1490
shelfMoved,2017-12-25 05:03:55,12r,1492
shelfDelivered,2017-12-25 05:06:55,11r,1495
shelfDelivered,2017-12-25 05:07:55,4r,1496
shelfDelivered,2017-12-25 05:09:55,10r,1499
shelfDelivered,2017-12-25 05:12:55,9r,1505
shelfDelivered,2017-12-25 05:14:55,7r,1507
shelfDelivered,2017-12-25 05:18:55,2r,1517
shelfMoved,2017-12-25 05:22:55,24r,1521
shelfDelivered,2017-12-25 05:24:55,15r,1525
shelfDelivered,2017-12-25 05:30:55,14r,1534
shelfDelivered,2017-12-25 05:31:55,12r,1537
disposeShelf,2017-12-25 05:35:55,7r,1544
disposeShelf,2017-12-25 05:36:55,9r,1547
disposeShelf,2017-12-25 05:38:55,10r,1548
disposeShelf,2017-12-25 05:43:55,18r,1556
disposeShelf,2017-12-25 05:45:55,14r,1559
disposeShelf,2017-12-25 05:47:55,12r,1561
disposeShelf,2017-12-25 05:50:55,4r,1563
shelfMoved,2017-12-25 05:51:55,1r,1564
shelfDelivered,2017-12-25 05:54:55,24r,1567
disposeShelf,2017-12-25 05:55:55,11r,1568
shelfMoved,2017-12-25 05:58:55,17r,1574
disposeShelf,2017-12-25 06:02:55,2r,1579
disposeShelf,2017-12-25 06:03:55,15r,1582
disposeShelf,2017-12-25 06:06:55,24r,1586
shelfDelivered,2017-12-25 06:18:55,1r,1593
disposeShelf,2017-12-25 06:23:55,1r,1599
shelfDelivered,2017-12-25 06:29:55,17r,1601
disposeShelf,2017-12-25 06:35:55,17r,1606
shelfMoved,2017-12-25 06:55:55,19r,1620
shelfDelivered,2017-12-25 07:21:55,19r,1632
shelfMoved,2017-12-25 07:23:55,22r,1633
disposeShelf,2017-12-25 07:30:55,19r,1648
shelfMoved,2017-12-25 07:32:55,5r,1650
shelfDelivered,2017-12-25 07:39:55,22r,1662
shelfDelivered,2017-12-25 07:40:55,5r,1663
disposeShelf,2017-12-25 07:44:55,22r,1668
disposeShelf,2017-12-25 07:46:55,5r,1669
shelfMoved,2017-12-25 07:49:55,6r,1673
shelfMoved,2017-12-25 07:52:55,13r,1676
shelfMoved,2017-12-25 07:53:55,20r,1679
shelfDelivered,2017-12-25 07:54:55,6r,1681
shelfMoved,2017-12-25 07:56:55,23r,1683
disposeShelf,2017-12-25 08:00:55,6r,1689
shelfDelivered,2017-12-25 08:02:55,13r,1690
disposeShelf,2017-12-25 08:07:55,13r,1701
shelfMoved,2017-12-25 08:08:55,7r,1704
shelfDelivered,2017-12-25 08:13:55,23r,1706
shelfDelivered,2017-12-25 08:15:55,20r,1708
shelfDelivered,2017-12-25 08:17:55,7r,1710
shelfMoved,2017-12-25 08:19:55,0r,1713
disposeShelf,2017-12-25 08:21:55,23r,1715
disposeShelf,2017-12-25 08:23:55,20r,1718
disposeShelf,2017-12-25 08:25:55,7r,1720
shelfDelivered,2017-12-25 08:29:55,0r,1725
disposeShelf,2017-12-25 08:33:55,0r,1731
shelfMoved,2017-12-25 08:39:55,19r,1738
shelfDelivered,2017-12-25 08:55:55,19r,1748
disposeShelf,2017-12-25 08:58:55,19r,1751
shelfMoved,2017-12-25 09:16:55,10r,1761
shelfDelivered,2017-12-25 09:25:55,10r,1764
shelfMoved,2017-12-25 09:28:55,18r,1766
