Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
637RP,2017-12-25 02:32:27,2017-12-25 02:34:27,putdown current shelf,process activity,robot,74r,shelf,-1s,1316
637RP,2017-12-25 02:35:27,2017-12-25 02:37:27,go to approriate shelf,process activity,robot,74r,shelf,89s,1320
962RP,2017-12-25 02:35:27,2017-12-25 02:41:27,putdown current shelf,process activity,robot,202r,shelf,-1s,1319
962RP,2017-12-25 02:41:27,2017-12-25 02:44:27,go to approriate shelf,process activity,robot,202r,shelf,22s,1325
1288RP,2017-12-25 02:48:27,2017-12-25 02:50:27,putdown current shelf,process activity,robot,77r,shelf,-1s,1332
2941RP,2017-12-25 02:43:27,2017-12-25 02:51:27,putdown current shelf,process activity,robot,234r,shelf,-1s,1327
2224RP,2017-12-25 02:50:27,2017-12-25 02:53:27,putdown current shelf,process activity,robot,149r,shelf,-1s,1335
637RP,2017-12-25 02:39:27,2017-12-25 02:53:27,move shelf to dock,process activity,robot,74r,shelf,89s,1323
1516RP,2017-12-25 02:53:27,2017-12-25 02:56:27,putdown current shelf,process activity,robot,183r,shelf,-1s,1340
1288RP,2017-12-25 02:50:27,2017-12-25 03:01:27,go to approriate shelf,process activity,robot,77r,shelf,57s,1336
3109RP,2017-12-25 03:00:27,2017-12-25 03:05:27,putdown current shelf,process activity,robot,35r,shelf,-1s,1352
637RP,2017-12-25 03:00:27,2017-12-25 03:05:27,move shelf from dock,process activity,robot,74r,shelf,89s,1351
1516RP,2017-12-25 02:56:27,2017-12-25 03:08:27,go to approriate shelf,process activity,robot,183r,shelf,62s,1346
2941RP,2017-12-25 02:52:27,2017-12-25 03:10:27,go to approriate shelf,process activity,robot,234r,shelf,129s,1339
2224RP,2017-12-25 02:53:27,2017-12-25 03:11:27,go to approriate shelf,process activity,robot,149r,shelf,189s,1341
3766RP,2017-12-25 03:08:27,2017-12-25 03:14:27,putdown current shelf,process activity,robot,109r,shelf,-1s,1364
962RP,2017-12-25 03:01:27,2017-12-25 03:15:27,reduce speed,process activity,robot,202r,shelf,22s,1354
962RP,2017-12-25 02:46:27,2017-12-25 03:15:27,move shelf to dock,process activity,robot,202r,shelf,22s,1330
