Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
449CP,2017-12-25 02:39:13,2017-12-25 02:48:13,Request product,process activity,clerk,1c,product,449p,1311
449CP,2017-12-25 02:48:13,2017-12-25 02:48:13,Assgin robot,process activity,robot,16r,shelf,32s,1314
645CP,2017-12-25 02:44:13,2017-12-25 02:57:13,Request product,process activity,clerk,1c,product,645p,1313
645CP,2017-12-25 02:58:13,2017-12-25 02:58:13,Assgin robot,process activity,robot,23r,shelf,32s,1319
293CP,2017-12-25 02:40:13,2017-12-25 03:00:13,Request product,process activity,clerk,1c,product,293p,1312
293CP,2017-12-25 03:00:13,2017-12-25 03:01:13,Assgin robot,process activity,robot,20r,shelf,6s,1321
433CP,2017-12-25 02:57:13,2017-12-25 03:03:13,Request product,process activity,clerk,1c,product,433p,1318
433CP,2017-12-25 03:03:13,2017-12-25 03:03:13,Assgin robot,process activity,robot,19r,shelf,38s,1323
350CP,2017-12-25 02:52:13,2017-12-25 03:08:13,Request product,process activity,clerk,1c,product,350p,1316
350CP,2017-12-25 03:09:13,2017-12-25 03:09:13,Assgin robot,process activity,robot,18r,shelf,12s,1327
768CP,2017-12-25 03:00:13,2017-12-25 03:17:13,Request product,process activity,clerk,1c,product,768p,1320
768CP,2017-12-25 03:17:13,2017-12-25 03:17:13,Assgin robot,process activity,robot,22r,shelf,1s,1334
167CP,2017-12-25 03:09:13,2017-12-25 03:24:13,Request product,process activity,clerk,1c,product,167p,1328
167CP,2017-12-25 03:25:13,2017-12-25 03:25:13,Assgin robot,process activity,robot,5r,shelf,29s,1340
126CP,2017-12-25 03:18:13,2017-12-25 03:30:13,Request product,process activity,clerk,1c,product,126p,1336
126CP,2017-12-25 03:31:13,2017-12-25 03:31:13,Assgin robot,process activity,robot,24r,shelf,15s,1348
523CP,2017-12-25 03:22:13,2017-12-25 03:39:13,Request product,process activity,clerk,1c,product,523p,1339
523CP,2017-12-25 03:40:13,2017-12-25 03:40:13,Assgin robot,process activity,robot,14r,shelf,25s,1363
449CP,2017-12-25 03:42:13,2017-12-25 03:42:13,check if the product was shaked,process activity,clerk,1c,product,449p,1366
617CP,2017-12-25 03:34:13,2017-12-25 03:43:13,Request product,process activity,clerk,1c,product,617p,1352
617CP,2017-12-25 03:43:13,2017-12-25 03:43:13,Assgin robot,process activity,robot,9r,shelf,17s,1369
676CP,2017-12-25 03:39:13,2017-12-25 03:58:13,Request product,process activity,clerk,1c,product,676p,1362
676CP,2017-12-25 03:59:13,2017-12-25 03:59:13,Assgin robot,process activity,robot,12r,shelf,24s,1391
725CP,2017-12-25 03:56:13,2017-12-25 04:07:13,Request product,process activity,clerk,1c,product,725p,1387
725CP,2017-12-25 04:07:13,2017-12-25 04:07:13,Assgin robot,process activity,robot,1r,shelf,9s,1404
169CP,2017-12-25 03:52:13,2017-12-25 04:10:13,Request product,process activity,clerk,1c,product,169p,1381
169CP,2017-12-25 04:11:13,2017-12-25 04:11:13,Assgin robot,process activity,robot,0r,shelf,4s,1410
449CP,2017-12-25 04:22:13,2017-12-25 04:22:13,Product Delivered,process activity,clerk,1c,product,449p,1425
433CP,2017-12-25 04:25:13,2017-12-25 04:25:13,check if the product was shaked,process activity,clerk,1c,product,433p,1430
601CP,2017-12-25 04:08:13,2017-12-25 04:30:13,Request product,process activity,clerk,1c,product,601p,1408
601CP,2017-12-25 04:31:13,2017-12-25 04:31:13,Assgin robot,process activity,robot,7r,shelf,3s,1438
319CP,2017-12-25 04:26:13,2017-12-25 04:38:13,Request product,process activity,clerk,1c,product,319p,1431
476CP,2017-12-25 04:22:13,2017-12-25 04:52:13,Request product,process activity,clerk,1c,product,476p,1426
476CP,2017-12-25 04:52:13,2017-12-25 04:52:13,Assgin robot,process activity,robot,3r,shelf,29s,1454
637CP,2017-12-25 04:30:13,2017-12-25 04:56:13,Request product,process activity,clerk,1c,product,637p,1436
319CP,2017-12-25 04:57:13,2017-12-25 04:57:13,Assgin robot,process activity,robot,16r,shelf,0s,1461
637CP,2017-12-25 05:01:13,2017-12-25 05:01:13,Assgin robot,process activity,robot,17r,shelf,18s,1467
539CP,2017-12-25 04:28:13,2017-12-25 05:02:13,Request product,process activity,clerk,1c,product,539p,1433
539CP,2017-12-25 05:03:13,2017-12-25 05:03:13,Assgin robot,process activity,robot,13r,shelf,31s,1470
97CP,2017-12-25 04:55:13,2017-12-25 05:13:13,Request product,process activity,clerk,1c,product,97p,1457
97CP,2017-12-25 05:14:13,2017-12-25 05:14:13,Assgin robot,process activity,robot,11r,shelf,39s,1487
