Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
1166CP,2017-12-25 02:32:46,2017-12-25 02:39:46,Request product,process activity,clerk,1c,product,1166p,1312
1166CP,2017-12-25 02:40:46,2017-12-25 02:40:46,Assgin robot,process activity,robot,63r,shelf,125s,1314
1401CP,2017-12-25 02:31:46,2017-12-25 02:45:46,Request product,process activity,clerk,1c,product,1401p,1311
1401CP,2017-12-25 02:45:46,2017-12-25 02:45:46,Assgin robot,process activity,robot,172r,shelf,32s,1318
2953CP,2017-12-25 02:36:46,2017-12-25 02:46:46,Request product,process activity,clerk,1c,product,2953p,1313
2953CP,2017-12-25 02:46:46,2017-12-25 02:46:46,Assgin robot,process activity,robot,43r,shelf,125s,1320
1710CP,2017-12-25 02:40:46,2017-12-25 02:58:46,Request product,process activity,clerk,1c,product,1710p,1315
1710CP,2017-12-25 02:59:46,2017-12-25 02:59:46,Assgin robot,process activity,robot,72r,shelf,143s,1329
312CP,2017-12-25 02:46:46,2017-12-25 03:04:46,Request product,process activity,clerk,1c,product,312p,1319
312CP,2017-12-25 03:06:46,2017-12-25 03:06:46,Assgin robot,process activity,robot,218r,shelf,187s,1336
2678CP,2017-12-25 03:02:46,2017-12-25 03:08:46,Request product,process activity,clerk,1c,product,2678p,1333
2678CP,2017-12-25 03:10:46,2017-12-25 03:10:46,Assgin robot,process activity,robot,153r,shelf,122s,1343
1763CP,2017-12-25 02:54:46,2017-12-25 03:17:46,Request product,process activity,clerk,1c,product,1763p,1326
1763CP,2017-12-25 03:18:46,2017-12-25 03:18:46,Assgin robot,process activity,robot,125r,shelf,125s,1353
1518CP,2017-12-25 02:57:46,2017-12-25 03:18:46,Request product,process activity,clerk,1c,product,1518p,1327
3755CP,2017-12-25 03:07:46,2017-12-25 03:20:46,Request product,process activity,clerk,1c,product,3755p,1338
3755CP,2017-12-25 03:21:46,2017-12-25 03:21:46,Assgin robot,process activity,robot,129r,shelf,79s,1357
1401CP,2017-12-25 03:23:46,2017-12-25 03:23:46,check if the product was shaked,process activity,clerk,1c,product,1401p,1359
1518CP,2017-12-25 03:24:46,2017-12-25 03:24:46,Assgin robot,process activity,robot,201r,shelf,41s,1362
602CP,2017-12-25 02:51:46,2017-12-25 03:26:46,Request product,process activity,clerk,1c,product,602p,1324
3533CP,2017-12-25 03:23:46,2017-12-25 03:31:46,Request product,process activity,clerk,1c,product,3533p,1360
602CP,2017-12-25 03:35:46,2017-12-25 03:35:46,Assgin robot,process activity,robot,27r,shelf,11s,1377
3984CP,2017-12-25 03:12:46,2017-12-25 03:36:46,Request product,process activity,clerk,1c,product,3984p,1346
3984CP,2017-12-25 03:37:46,2017-12-25 03:37:46,Assgin robot,process activity,robot,107r,shelf,167s,1380
3533CP,2017-12-25 03:39:46,2017-12-25 03:39:46,Assgin robot,process activity,robot,97r,shelf,95s,1383
1042CP,2017-12-25 03:29:46,2017-12-25 03:40:46,Request product,process activity,clerk,1c,product,1042p,1368
1042CP,2017-12-25 03:40:46,2017-12-25 03:40:46,Assgin robot,process activity,robot,160r,shelf,114s,1386
2268CP,2017-12-25 03:18:46,2017-12-25 03:44:46,Request product,process activity,clerk,1c,product,2268p,1354
2268CP,2017-12-25 03:45:46,2017-12-25 03:45:46,Assgin robot,process activity,robot,112r,shelf,19s,1392
3514CP,2017-12-25 03:51:46,2017-12-25 04:03:46,Request product,process activity,clerk,1c,product,3514p,1403
3514CP,2017-12-25 04:04:46,2017-12-25 04:04:46,Assgin robot,process activity,robot,19r,shelf,2s,1416
132CP,2017-12-25 03:50:46,2017-12-25 04:04:46,Request product,process activity,clerk,1c,product,132p,1400
3459CP,2017-12-25 03:36:46,2017-12-25 04:04:46,Request product,process activity,clerk,1c,product,3459p,1378
3459CP,2017-12-25 04:05:46,2017-12-25 04:05:46,Assgin robot,process activity,robot,220r,shelf,73s,1418
2764CP,2017-12-25 03:34:46,2017-12-25 04:05:46,Request product,process activity,clerk,1c,product,2764p,1375
2495CP,2017-12-25 03:41:46,2017-12-25 04:06:46,Request product,process activity,clerk,1c,product,2495p,1387
2495CP,2017-12-25 04:07:46,2017-12-25 04:07:46,Assgin robot,process activity,robot,233r,shelf,81s,1421
1401CP,2017-12-25 04:10:46,2017-12-25 04:10:46,Product Delivered,process activity,clerk,1c,product,1401p,1425
2764CP,2017-12-25 04:11:46,2017-12-25 04:11:46,Assgin robot,process activity,robot,219r,shelf,129s,1428
3857CP,2017-12-25 03:40:46,2017-12-25 04:12:46,Request product,process activity,clerk,1c,product,3857p,1385
132CP,2017-12-25 04:13:46,2017-12-25 04:13:46,Assgin robot,process activity,robot,61r,shelf,112s,1430
3857CP,2017-12-25 04:23:46,2017-12-25 04:23:46,Assgin robot,process activity,robot,18r,shelf,92s,1448
2678CP,2017-12-25 04:29:46,2017-12-25 04:29:46,check if the product was shaked,process activity,clerk,1c,product,2678p,1453
2142CP,2017-12-25 04:04:46,2017-12-25 04:31:46,Request product,process activity,clerk,1c,product,2142p,1417
2142CP,2017-12-25 04:32:46,2017-12-25 04:32:46,Assgin robot,process activity,robot,103r,shelf,153s,1459
262CP,2017-12-25 04:22:46,2017-12-25 04:33:46,Request product,process activity,clerk,1c,product,262p,1446
262CP,2017-12-25 04:33:46,2017-12-25 04:33:46,Assgin robot,process activity,robot,49r,shelf,18s,1461
2654CP,2017-12-25 04:06:46,2017-12-25 04:39:46,Request product,process activity,clerk,1c,product,2654p,1420
2654CP,2017-12-25 04:49:46,2017-12-25 04:49:46,Assgin robot,process activity,robot,140r,shelf,9s,1481
2343CP,2017-12-25 04:17:46,2017-12-25 04:49:46,Request product,process activity,clerk,1c,product,2343p,1436
240CP,2017-12-25 04:10:46,2017-12-25 04:50:46,Request product,process activity,clerk,1c,product,240p,1426
240CP,2017-12-25 04:51:46,2017-12-25 04:51:46,Assgin robot,process activity,robot,138r,shelf,23s,1486
2343CP,2017-12-25 04:54:46,2017-12-25 04:54:46,Assgin robot,process activity,robot,127r,shelf,77s,1492
1537CP,2017-12-25 04:30:46,2017-12-25 04:57:46,Request product,process activity,clerk,1c,product,1537p,1456
1537CP,2017-12-25 04:58:46,2017-12-25 04:58:46,Assgin robot,process activity,robot,159r,shelf,28s,1498
2706CP,2017-12-25 04:34:46,2017-12-25 04:58:46,Request product,process activity,clerk,1c,product,2706p,1462
545CP,2017-12-25 04:18:46,2017-12-25 04:58:46,Request product,process activity,clerk,1c,product,545p,1440
545CP,2017-12-25 04:59:46,2017-12-25 04:59:46,Assgin robot,process activity,robot,95r,shelf,24s,1500
2706CP,2017-12-25 05:04:46,2017-12-25 05:04:46,Assgin robot,process activity,robot,158r,shelf,101s,1508
3366CP,2017-12-25 04:39:46,2017-12-25 05:12:46,Request product,process activity,clerk,1c,product,3366p,1471
3366CP,2017-12-25 05:12:46,2017-12-25 05:12:46,Assgin robot,process activity,robot,200r,shelf,127s,1519
2942CP,2017-12-25 04:50:46,2017-12-25 05:12:46,Request product,process activity,clerk,1c,product,2942p,1484
2942CP,2017-12-25 05:13:46,2017-12-25 05:13:46,Assgin robot,process activity,robot,121r,shelf,7s,1520
1030CP,2017-12-25 05:06:46,2017-12-25 05:21:46,Request product,process activity,clerk,1c,product,1030p,1512
1030CP,2017-12-25 05:21:46,2017-12-25 05:21:46,Assgin robot,process activity,robot,147r,shelf,109s,1536
575CP,2017-12-25 04:48:46,2017-12-25 05:22:46,Request product,process activity,clerk,1c,product,575p,1480
575CP,2017-12-25 05:23:46,2017-12-25 05:23:46,Assgin robot,process activity,robot,243r,shelf,107s,1538
1565CP,2017-12-25 04:52:46,2017-12-25 05:23:46,Request product,process activity,clerk,1c,product,1565p,1489
1698CP,2017-12-25 05:17:46,2017-12-25 05:28:46,Request product,process activity,clerk,1c,product,1698p,1528
1698CP,2017-12-25 05:29:46,2017-12-25 05:29:46,Assgin robot,process activity,robot,71r,shelf,38s,1548
930CP,2017-12-25 04:59:46,2017-12-25 05:32:46,Request product,process activity,clerk,1c,product,930p,1501
930CP,2017-12-25 05:32:46,2017-12-25 05:32:46,Assgin robot,process activity,robot,101r,shelf,148s,1552
1565CP,2017-12-25 05:33:46,2017-12-25 05:33:46,Assgin robot,process activity,robot,55r,shelf,81s,1553
770CP,2017-12-25 05:02:46,2017-12-25 05:43:46,Request product,process activity,clerk,1c,product,770p,1505
770CP,2017-12-25 05:43:46,2017-12-25 05:43:46,Assgin robot,process activity,robot,150r,shelf,40s,1568
204CP,2017-12-25 05:26:46,2017-12-25 05:44:46,Request product,process activity,clerk,1c,product,204p,1544
204CP,2017-12-25 05:44:46,2017-12-25 05:44:46,Assgin robot,process activity,robot,38r,shelf,162s,1571
3187CP,2017-12-25 05:18:46,2017-12-25 05:47:46,Request product,process activity,clerk,1c,product,3187p,1531
605CP,2017-12-25 05:13:46,2017-12-25 05:50:46,Request product,process activity,clerk,1c,product,605p,1521
605CP,2017-12-25 05:50:46,2017-12-25 05:50:46,Assgin robot,process activity,robot,168r,shelf,6s,1579
1460CP,2017-12-25 05:47:46,2017-12-25 06:02:46,Request product,process activity,clerk,1c,product,1460p,1573
1460CP,2017-12-25 06:03:46,2017-12-25 06:03:46,Assgin robot,process activity,robot,222r,shelf,62s,1598
99CP,2017-12-25 05:41:46,2017-12-25 06:07:46,Request product,process activity,clerk,1c,product,99p,1566
99CP,2017-12-25 06:07:46,2017-12-25 06:08:46,Assgin robot,process activity,robot,193r,shelf,147s,1606
3187CP,2017-12-25 06:08:46,2017-12-25 06:08:46,Assgin robot,process activity,robot,216r,shelf,30s,1607
233CP,2017-12-25 05:22:46,2017-12-25 06:10:46,Request product,process activity,clerk,1c,product,233p,1537
1165CP,2017-12-25 06:01:46,2017-12-25 06:11:46,Request product,process activity,clerk,1c,product,1165p,1595
1165CP,2017-12-25 06:11:46,2017-12-25 06:11:46,Assgin robot,process activity,robot,52r,shelf,30s,1613
233CP,2017-12-25 06:12:46,2017-12-25 06:12:46,Assgin robot,process activity,robot,213r,shelf,97s,1614
3098CP,2017-12-25 06:10:46,2017-12-25 06:19:46,Request product,process activity,clerk,1c,product,3098p,1611
3098CP,2017-12-25 06:20:46,2017-12-25 06:20:46,Assgin robot,process activity,robot,195r,shelf,12s,1627
1348CP,2017-12-25 05:49:46,2017-12-25 06:21:46,Request product,process activity,clerk,1c,product,1348p,1577
1348CP,2017-12-25 06:22:46,2017-12-25 06:22:46,Assgin robot,process activity,robot,122r,shelf,58s,1631
3578CP,2017-12-25 05:38:46,2017-12-25 06:29:46,Request product,process activity,clerk,1c,product,3578p,1562
3578CP,2017-12-25 06:29:46,2017-12-25 06:29:46,Assgin robot,process activity,robot,64r,shelf,2s,1639
675CP,2017-12-25 05:57:46,2017-12-25 06:37:46,Request product,process activity,clerk,1c,product,675p,1589
675CP,2017-12-25 06:38:46,2017-12-25 06:38:46,Assgin robot,process activity,robot,173r,shelf,102s,1654
872CP,2017-12-25 06:02:46,2017-12-25 06:41:46,Request product,process activity,clerk,1c,product,872p,1597
872CP,2017-12-25 06:41:46,2017-12-25 06:41:46,Assgin robot,process activity,robot,10r,shelf,76s,1661
3513CP,2017-12-25 06:20:46,2017-12-25 06:45:46,Request product,process activity,clerk,1c,product,3513p,1628
2230CP,2017-12-25 06:41:46,2017-12-25 06:49:46,Request product,process activity,clerk,1c,product,2230p,1660
