Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 02:57:21,1212p,1339
packageDone,2017-12-25 03:01:21,1212p,1347
collector,2017-12-25 03:12:21,1733p,1365
collector,2017-12-25 03:23:21,3187p,1372
extraCheck,2017-12-25 03:31:21,1733p,1378
collector,2017-12-25 03:36:21,3266p,1402
packageDone,2017-12-25 03:49:21,1733p,1401
collector,2017-12-25 04:01:21,2420p,1424
collector,2017-12-25 04:32:21,1299p,1429
collector,2017-12-25 04:48:21,3713p,1481
collector,2017-12-25 04:53:21,2083p,1476
extraCheck,2017-12-25 05:12:21,3187p,1450
collector,2017-12-25 05:39:21,3460p,1525
collector,2017-12-25 05:54:21,895p,1524
collector,2017-12-25 06:11:21,2067p,1523
collector,2017-12-25 07:18:21,840p,1734
collector,2017-12-25 07:25:21,1727p,1723
collector,2017-12-25 07:44:21,370p,1697
collector,2017-12-25 08:09:21,2314p,1677
collector,2017-12-25 08:56:21,1691p,1592
collector,2017-12-25 09:20:21,27p,1570
packageDone,2017-12-25 09:33:21,3187p,1561
collector,2017-12-25 10:29:21,2856p,1945
collector,2017-12-25 10:33:21,3112p,1944
collector,2017-12-25 10:59:21,3843p,1923
collector,2017-12-25 11:03:21,3691p,1905
collector,2017-12-25 11:22:21,651p,1901
collector,2017-12-25 11:45:21,3451p,1876
collector,2017-12-25 11:45:21,1922p,1875
collector,2017-12-25 12:00:21,90p,1867
collector,2017-12-25 12:00:21,3079p,1865
collector,2017-12-25 12:10:21,497p,1866
collector,2017-12-25 12:23:21,1011p,1840
collector,2017-12-25 12:26:21,393p,1839
collector,2017-12-25 12:26:21,1970p,1828
collector,2017-12-25 12:38:21,3806p,1818
collector,2017-12-25 12:41:21,3301p,1788
collector,2017-12-25 12:45:21,2909p,1764
collector,2017-12-25 12:47:21,1024p,1765
collector,2017-12-25 12:51:21,2282p,1750
collector,2017-12-25 12:55:21,3841p,1751
collector,2017-12-25 13:02:21,1106p,2279
collector,2017-12-25 13:02:21,3417p,2278
collector,2017-12-25 13:03:21,3508p,2273
collector,2017-12-25 13:06:21,1909p,2271
collector,2017-12-25 13:10:21,2377p,2263
collector,2017-12-25 13:10:21,2994p,2264
collector,2017-12-25 13:10:21,25p,2261
collector,2017-12-25 13:17:21,3181p,2254
collector,2017-12-25 13:23:21,498p,2227
collector,2017-12-25 13:29:21,2320p,2226
collector,2017-12-25 13:35:21,2361p,2340
collector,2017-12-25 13:36:21,920p,2190
collector,2017-12-25 13:38:21,2679p,2175
collector,2017-12-25 13:41:21,3633p,2177
collector,2017-12-25 13:43:21,1989p,2174
collector,2017-12-25 13:44:21,1119p,2156
collector,2017-12-25 13:51:21,3927p,2115
collector,2017-12-25 13:55:21,760p,2114
collector,2017-12-25 14:06:21,1073p,2043
collector,2017-12-25 14:07:21,2939p,2035
collector,2017-12-25 14:12:21,461p,2019
collector,2017-12-25 14:13:21,2041p,2015
collector,2017-12-25 14:24:21,3909p,1992
collector,2017-12-25 14:27:21,1625p,2418
collector,2017-12-25 14:28:21,3050p,2417
extraCheck,2017-12-25 14:33:21,2067p,2406
collector,2017-12-25 14:36:21,12p,2399
collector,2017-12-25 14:38:21,3766p,2398
collector,2017-12-25 14:40:21,3704p,2392
collector,2017-12-25 14:40:21,3060p,2385
collector,2017-12-25 14:48:21,22p,2383
collector,2017-12-25 14:51:21,2804p,2387
collector,2017-12-25 14:55:21,3660p,2382
collector,2017-12-25 15:03:21,3941p,2384
collector,2017-12-25 15:04:21,807p,2380
collector,2017-12-25 15:06:21,1393p,2381
collector,2017-12-25 15:06:21,1502p,2374
collector,2017-12-25 15:07:21,508p,2359
collector,2017-12-25 15:07:21,2484p,2360
collector,2017-12-25 15:12:21,635p,2361
collector,2017-12-25 15:20:21,3739p,2358
collector,2017-12-25 15:25:21,583p,2355
collector,2017-12-25 15:31:21,2495p,2342
collector,2017-12-25 15:38:21,3143p,2335
collector,2017-12-25 15:38:21,1424p,2336
collector,2017-12-25 15:42:21,1635p,2330
collector,2017-12-25 15:51:21,842p,2324
collector,2017-12-25 15:54:21,3741p,2323
collector,2017-12-25 15:56:21,783p,2310
collector,2017-12-25 16:01:21,549p,2294
collector,2017-12-25 16:05:21,3701p,2516
collector,2017-12-25 16:07:21,937p,2484
packageDone,2017-12-25 16:11:21,2067p,2433
collector,2017-12-25 16:16:21,612p,2423
collector,2017-12-25 16:19:21,2462p,2562
collector,2017-12-25 16:22:21,2014p,2561
collector,2017-12-25 16:25:21,2445p,2560
collector,2017-12-25 16:25:21,2527p,2556
collector,2017-12-25 16:30:21,2593p,2552
collector,2017-12-25 16:37:21,2664p,2551
collector,2017-12-25 16:47:21,3384p,2547
collector,2017-12-25 16:48:21,666p,2548
collector,2017-12-25 16:48:21,1588p,2614
extraCheck,2017-12-25 16:59:21,3266p,2581
collector,2017-12-25 17:02:21,2751p,2573
collector,2017-12-25 17:04:21,1176p,2574
collector,2017-12-25 17:07:21,3307p,2634
collector,2017-12-25 17:11:21,1599p,2626
packageDone,2017-12-25 17:16:21,3266p,2635
collector,2017-12-25 17:23:21,2473p,2653
collector,2017-12-25 17:27:21,3813p,2654
collector,2017-12-25 17:31:21,3250p,2672
packageDone,2017-12-25 17:36:21,2420p,2668
collector,2017-12-25 17:44:21,362p,2667
collector,2017-12-25 17:55:21,866p,2717
collector,2017-12-25 17:59:21,2897p,2718
collector,2017-12-25 18:03:21,1901p,2716
extraCheck,2017-12-25 18:06:21,3713p,2713
collector,2017-12-25 18:09:21,303p,2739
collector,2017-12-25 18:14:21,2581p,2738
collector,2017-12-25 18:20:21,2042p,2751
collector,2017-12-25 18:22:21,3209p,2752
packageDone,2017-12-25 18:22:21,3713p,2737
extraCheck,2017-12-25 18:36:21,1299p,2764
collector,2017-12-25 18:38:21,2213p,2770
packageDone,2017-12-25 18:50:21,1299p,2771
packageDone,2017-12-25 18:56:21,2083p,2783
packageDone,2017-12-25 19:04:21,3460p,2793
extraCheck,2017-12-25 19:09:21,895p,2796
collector,2017-12-25 19:11:21,3124p,2800
packageDone,2017-12-25 19:24:21,895p,2802
extraCheck,2017-12-25 20:50:21,1727p,2883
collector,2017-12-25 22:39:21,3930p,3099
collector,2017-12-25 22:56:21,3705p,3063
collector,2017-12-25 23:04:21,2888p,3062
collector,2017-12-25 23:11:21,1961p,3061
collector,2017-12-25 23:22:21,2791p,3054
packageDone,2017-12-25 23:41:21,1727p,2954
collector,2017-12-25 23:44:21,2646p,3238
collector,2017-12-25 23:46:21,1161p,3235
collector,2017-12-25 23:51:21,664p,3234
collector,2017-12-25 23:52:21,1435p,3233
collector,2017-12-25 23:54:21,2507p,3228
collector,2017-12-25 23:54:21,3944p,3232
collector,2017-12-25 23:57:21,562p,3229
collector,2017-12-26 00:00:21,3521p,3231
collector,2017-12-26 00:06:21,3851p,3230
collector,2017-12-26 00:08:21,514p,3219
collector,2017-12-26 00:10:21,3860p,3221
collector,2017-12-26 00:10:21,3157p,3220
collector,2017-12-26 00:13:21,1266p,3218
collector,2017-12-26 00:14:21,3437p,3215
collector,2017-12-26 00:19:21,190p,3210
collector,2017-12-26 00:23:21,3431p,3203
collector,2017-12-26 00:25:21,2736p,3192
collector,2017-12-26 00:29:21,71p,3159
collector,2017-12-26 00:30:21,3292p,3158
collector,2017-12-26 00:33:21,1109p,3153
collector,2017-12-26 00:36:21,3949p,3151
collector,2017-12-26 00:36:21,3339p,3152
collector,2017-12-26 00:41:21,1201p,3129
collector,2017-12-26 00:45:21,254p,3107
collector,2017-12-26 00:46:21,1150p,3320
collector,2017-12-26 00:49:21,3661p,3319
collector,2017-12-26 00:51:21,3802p,3317
collector,2017-12-26 00:52:21,3716p,3307
collector,2017-12-26 00:52:21,3402p,3303
collector,2017-12-26 00:52:21,1698p,3301
collector,2017-12-26 00:58:21,1746p,3300
collector,2017-12-26 01:01:21,1143p,3296
