Shelf Id,Event Id,Timestamp, 
3s,1344,2017-12-25 03:07:04,
145s,1352,2017-12-25 03:13:04,
111s,1370,2017-12-25 03:23:04,
105s,1401,2017-12-25 03:42:04,
87s,1415,2017-12-25 03:51:04,
154s,1417,2017-12-25 03:52:04,
69s,1443,2017-12-25 04:11:04,
166s,1459,2017-12-25 04:19:04,
184s,1465,2017-12-25 04:25:04,
53s,1477,2017-12-25 04:33:04,
98s,1492,2017-12-25 04:42:04,
22s,1495,2017-12-25 04:43:04,
96s,1499,2017-12-25 04:45:04,
66s,1522,2017-12-25 05:01:04,
0s,1543,2017-12-25 05:17:04,
73s,1568,2017-12-25 05:31:04,
45s,1570,2017-12-25 05:32:04,
113s,1577,2017-12-25 05:35:04,
18s,1584,2017-12-25 05:38:04,
199s,1620,2017-12-25 06:05:04,
156s,1624,2017-12-25 06:07:04,
19s,1643,2017-12-25 06:19:04,
76s,1645,2017-12-25 06:19:04,
128s,1647,2017-12-25 06:20:04,
121s,1667,2017-12-25 06:31:04,
29s,1668,2017-12-25 06:31:04,
20s,1671,2017-12-25 06:32:04,
190s,1679,2017-12-25 06:36:04,
135s,1736,2017-12-25 07:14:04,
157s,1737,2017-12-25 07:14:04,
16s,1740,2017-12-25 07:16:04,
81s,1766,2017-12-25 07:39:04,
183s,1769,2017-12-25 07:40:04,
170s,1778,2017-12-25 07:46:04,
36s,1787,2017-12-25 07:51:04,
177s,1788,2017-12-25 07:51:04,
1s,1790,2017-12-25 07:52:04,
40s,1796,2017-12-25 07:54:04,
116s,1797,2017-12-25 07:54:04,
54s,1805,2017-12-25 07:58:04,
172s,1825,2017-12-25 08:12:04,
64s,1859,2017-12-25 08:31:04,
193s,1878,2017-12-25 08:44:04,
185s,1880,2017-12-25 08:45:04,
3s,1895,2017-12-25 08:55:04,
75s,1896,2017-12-25 08:55:04,
13s,1897,2017-12-25 08:55:04,
122s,1922,2017-12-25 09:10:04,
162s,1938,2017-12-25 09:22:04,
17s,1945,2017-12-25 09:26:04,
155s,1953,2017-12-25 09:33:04,
97s,1955,2017-12-25 09:34:04,
134s,1961,2017-12-25 09:37:04,
124s,1975,2017-12-25 09:45:04,
110s,1985,2017-12-25 09:52:04,
24s,1990,2017-12-25 09:54:04,
35s,2009,2017-12-25 10:05:04,
47s,2030,2017-12-25 10:17:04,
26s,2065,2017-12-25 10:40:04,
127s,2066,2017-12-25 10:41:04,
87s,2078,2017-12-25 10:48:04,
37s,2088,2017-12-25 10:55:04,
78s,2095,2017-12-25 10:59:04,
7s,2102,2017-12-25 11:04:04,
164s,2127,2017-12-25 11:19:04,
163s,2137,2017-12-25 11:26:04,
104s,2171,2017-12-25 11:48:04,
56s,2175,2017-12-25 11:50:04,
44s,2179,2017-12-25 11:53:04,
10s,2204,2017-12-25 12:10:04,
23s,2216,2017-12-25 12:18:04,
83s,2217,2017-12-25 12:18:04,
143s,2250,2017-12-25 12:40:04,
139s,2256,2017-12-25 12:43:04,
119s,2258,2017-12-25 12:44:04,
180s,2259,2017-12-25 12:44:04,
154s,2269,2017-12-25 12:49:04,
14s,2275,2017-12-25 12:52:04,
108s,2292,2017-12-25 13:04:04,
178s,2306,2017-12-25 13:13:04,
130s,2313,2017-12-25 13:18:04,
175s,2363,2017-12-25 13:52:04,
107s,2377,2017-12-25 14:02:04,
103s,2418,2017-12-25 14:31:04,
41s,2478,2017-12-25 15:11:04,
99s,2499,2017-12-25 15:24:04,
65s,2513,2017-12-25 15:33:04,
30s,2535,2017-12-25 15:50:04,
43s,2550,2017-12-25 16:00:04,
39s,2583,2017-12-25 16:23:04,
195s,2636,2017-12-25 16:50:04,
111s,2698,2017-12-25 17:29:04,
81s,2700,2017-12-25 17:30:04,
3s,2702,2017-12-25 17:32:04,
54s,2705,2017-12-25 17:33:04,
10s,2706,2017-12-25 17:33:04,
147s,2707,2017-12-25 17:33:04,
20s,2718,2017-12-25 17:40:04,
185s,2735,2017-12-25 17:56:04,
166s,2741,2017-12-25 17:58:04,
69s,2743,2017-12-25 18:00:04,
1s,2776,2017-12-25 18:26:04,
162s,2779,2017-12-25 18:28:04,
47s,2782,2017-12-25 18:29:04,
98s,2785,2017-12-25 18:30:04,
172s,2787,2017-12-25 18:32:04,
139s,2793,2017-12-25 18:34:04,
25s,2803,2017-12-25 18:43:04,
35s,2806,2017-12-25 18:45:04,
135s,2814,2017-12-25 18:51:04,
23s,2818,2017-12-25 18:53:04,
74s,2819,2017-12-25 18:53:04,
53s,2823,2017-12-25 18:55:04,
45s,2824,2017-12-25 18:55:04,
184s,2825,2017-12-25 18:55:04,
11s,2826,2017-12-25 18:55:04,
16s,2827,2017-12-25 18:55:04,
119s,2829,2017-12-25 18:56:04,
180s,2844,2017-12-25 19:05:04,
19s,2854,2017-12-25 19:10:04,
76s,2857,2017-12-25 19:11:04,
14s,2869,2017-12-25 19:21:04,
186s,2870,2017-12-25 19:21:04,
142s,2882,2017-12-25 19:29:04,
155s,2891,2017-12-25 19:34:04,
161s,2893,2017-12-25 19:34:04,
118s,2917,2017-12-25 19:51:04,
38s,2931,2017-12-25 20:00:04,
183s,2946,2017-12-25 20:09:04,
96s,2947,2017-12-25 20:09:04,
42s,2950,2017-12-25 20:13:04,
158s,2974,2017-12-25 20:29:04,
150s,2975,2017-12-25 20:29:04,
169s,2976,2017-12-25 20:29:04,
189s,2990,2017-12-25 20:35:04,
138s,3016,2017-12-25 20:54:04,
82s,3020,2017-12-25 20:56:04,
56s,3062,2017-12-25 21:23:04,
26s,3072,2017-12-25 21:27:04,
37s,3079,2017-12-25 21:31:04,
59s,3085,2017-12-25 21:34:04,
66s,3135,2017-12-25 22:07:04,
78s,3217,2017-12-25 23:09:04,
168s,3220,2017-12-25 23:10:04,
102s,3224,2017-12-25 23:11:04,
51s,3238,2017-12-25 23:21:04,
198s,3256,2017-12-25 23:36:04,
46s,3265,2017-12-25 23:40:04,
108s,3292,2017-12-26 00:03:04,
102s,3433,2017-12-26 01:37:04,
43s,3436,2017-12-26 01:40:04,
76s,3440,2017-12-26 01:43:04,
65s,3444,2017-12-26 01:45:04,
81s,3467,2017-12-26 02:07:04,
169s,3469,2017-12-26 02:08:04,
173s,3470,2017-12-26 02:08:04,
30s,3474,2017-12-26 02:11:04,
147s,3477,2017-12-26 02:12:04,
74s,3482,2017-12-26 02:17:04,
172s,3492,2017-12-26 02:23:04,
98s,3495,2017-12-26 02:24:04,
